code,title,economic_class,reason
38.02.05.36,"השתתפות ות""ת- יישום הססכם המו""פ",העברות  פנים תקציביות,"Internal transfer, general R&D agreement."
38.02.06.03,הכנסות קרן הניהול,העברות  פנים תקציביות,"Internal transfer, general technology fund."
38.02.15.01,"רזרבה להיתיקרויות במו""פ",העברות,Reserve account.
38.02.15.03,"רזרבה להתייקרויות - מו""פ אירופי",שכר,Reserve account.
38.02.15.05,רזרבה להתייקרויות,העברות,Reserve account.
38.02.15.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve account.
38.02.15.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.03.01.04,השתתפות במשרד החקלאות,העברות  פנים תקציביות,"Internal transfer, general agricultural participation."
38.03.01.05,עתודה למענקים לפי חוק,קניות,Reserve account.
38.03.01.08,השתתפות מינהלת סלע,העברות  פנים תקציביות,"Internal transfer, general directorate."
38.03.01.10,רזרבה למימון התחייבויות עבר,קניות,Reserve account.
38.03.01.11,רזרבה למענק לטאואר,העברות,Reserve account.
38.03.01.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve account.
38.03.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.03.02.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.03.03.02,"הכנסות מפרמית סיכון - מפעלים שקבלו הלוואות עפ""י תיקון 39",הכנסות מיועדות,"Earmarked revenue, general loans."
38.03.03.04,הכנסות מחילוט פיקדונות,הכנסות מיועדות,"Earmarked revenue, general financial."
38.03.03.07,הכנסות מתאם לתיקון 39,הכנסות מיועדות,"Earmarked revenue, general financial."
38.03.03.08,השתתפות בבדיקות עבור מרכז השקעות,העברות  פנים תקציביות,"Internal transfer, general investment center."
38.03.03.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve account.
38.03.03.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.03.04.07,השתתפות בבדיקה עבור מרכז ההשקעות,העברות  פנים תקציביות,"Internal transfer, general investment center."
38.03.04.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve account.
38.03.04.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.03.10.01,רזרבה להיתיקרויות מרכז השקעות,העברות,Reserve account.
38.03.10.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve account.
38.03.10.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.04.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.04.04.03,הפחתה מתיגבור תוכניות שיווק,העברות  פנים תקציביות,"Internal transfer, general marketing."
38.04.04.07,הכנסות מתמלוגים,הכנסות מיועדות,"Earmarked revenue, general."
38.04.04.08,עתודה לכלי תמיכה חדשים בפעולות שיווק,העברות,Reserve account.
38.04.04.12,רזרבה למענקי שיווק,קניות,Reserve account.
38.04.04.25,"עתודה לפרוייקטים בי""ל",העברות,Reserve account.
38.04.04.34,רזרבה לסקרים,העברות,Reserve account.
38.04.04.37,הכנסות מקרן השיווק,הכנסות מיועדות,"Earmarked revenue, general marketing."
38.04.04.50,עתודה לתמיכות,העברות,Reserve account.
38.04.04.52,רזרבה לקידום פעילות שיווקית,קניות,Reserve account.
38.04.04.55,עתודה לקידום השקעות,קניות,Reserve account.
38.04.04.60,השתתפות בתקציב השוטף בגין הוצ' ביטחון,העברות  פנים תקציביות,"Internal transfer, security expenses."
38.04.04.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve account.
38.04.04.95,רזרבה להייקרויות כללית,רזרבות,Reserve account.
38.09.01.01,רזרבה למימון התקינה,העברות,Reserve account.
38.09.01.04,הכנסות מקיזוז חוב,הכנסות מיועדות,"Earmarked revenue, general financial."
38.09.01.05,"שכ""ד - הרשות להסמכת מעבדות",העברות  פנים תקציביות,"Internal transfer, general administrative."
38.09.01.06,הכנסות מקרן השווק,העברות  פנים תקציביות,"Internal transfer, general marketing."
38.09.01.15,עתודה לקרן המחקר,קניות,Reserve account.
38.09.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
38.09.02.01,עתודה לפעילות המעבדה לפיזיקה,קניות,Reserve account.
38.09.02.02,השתתפות בתקציב השוטף בגין העסקת עובדי המעבדה,העברות  פנים תקציביות,"Internal transfer, general administrative."
38.09.02.03,הכנסות משרותים לתעשייה,הכנסות מיועדות,"Earmarked revenue, general services."
38.12.01.02,הכנסות מתמלוגים,הכנסות מיועדות,"Earmarked revenue, general."
38.12.01.40,השתתפות המשרד לאיכות הסביבה,העברות  פנים תקציביות,Environmental protection overlap; internal transfer
38.12.01.41,הכנסה מקרן השיווק,הכנסות מיועדות,Earmarked revenue
38.12.01.43,הכנסות מקרן השיווק,הכנסות מיועדות,Earmarked revenue
38.12.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve
38.12.02.08,"הפחתה מתמיכה במס""קים",העברות  פנים תקציביות,Internal transfer
38.12.02.28,השתתפות משרד ראש הממשלה,העברות  פנים תקציביות,Internal transfer
38.12.02.50,הכנסות מקרן השיווק,הכנסות מיועדות,Earmarked revenue
38.12.02.71,השתתפות בתקציב תנופה,העברות  פנים תקציביות,Internal transfer
38.12.02.72,"השתתפות בתקציב רוה""מ",העברות  פנים תקציביות,Internal transfer
38.12.02.90,"רזרבה להתייקרויות כללי- מט""ח",רזרבות,Reserve
38.12.02.95,רזרבה להתייקרויות כללית,רזרבות,Reserve
38.12.03.02,הכנסות מאגרות,הכנסות מיועדות,Earmarked revenue
38.12.03.03,הכנסות מקרן הסיוע לעסקים קטנים,הכנסות מיועדות,Earmarked revenue
38.12.03.05,הכנסות מפרמית סיכון - עסקים קטנים,הכנסות מיועדות,Earmarked revenue
38.12.03.95,רזרבה להתייקרויות כללית,רזרבות,Reserve
38.13.01.01,תגבור תוכניות שיווק,העברות  פנים תקציביות,Internal transfer
38.13.01.03,ביטוח סיכוני סחר חוץ - רוסיה,העברות  פנים תקציביות,Internal transfer
38.13.01.05,"תמיכה במס""קים",העברות  פנים תקציביות,Internal transfer
38.13.01.07,תמיכה בחונכות,העברות  פנים תקציביות,Internal transfer
38.13.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve
38.13.02.05,השתתפות משרד החינוך,העברות  פנים תקציביות,Internal transfer
38.13.02.08,השתתפות במשרד החינוך,העברות  פנים תקציביות,Internal transfer
38.13.02.10,השתתפות משרד העבודה והרווחה,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
38.13.02.11,השתתפות מפעלים,הכנסות מיועדות,"Earmarked revenue, not direct spending."
38.13.03.24,אכסניית נוער בבית שאן,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
38.13.03.43,השתתפות בשער הירדן,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
38.13.03.46,השתתפות מתקציב משרד השיכון הפיתוח טיילת בקרית מלאכי,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
38.13.03.49,השתתפות במשרד התשתיות עלי נגב,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
38.13.03.50,השתתפות משרד התחבורה במנחת מצפה רמון,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
38.13.03.74,השתתפות במשרד המדע - פרוייקט מיגל,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
38.13.03.91,הכנסות מקרן השיווק,הכנסות מיועדות,"Earmarked revenue, not direct spending."
38.13.03.92,השתתפות המשרד לפיתוח הנגב והגליל,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
38.20.02.95,רזרבה להתייקרויות כללית,רזרבות,"Reserve account, not direct spending."
38.30.01.02,הכנסות מתמלוגים והחזרים,הכנסות מיועדות,"Earmarked revenue, not direct spending."
38.30.01.04,השתתפות במשרד הבריאות,העברות  פנים תקציביות,"Internal budgetary transfer, not direct spending."
76.01.01.06,"רזרבה להתייקרויות - מט""ח",השקעה,"General reserve, not direct spending."
76.01.01.95,רזרבה להתייקרויות כללית,רזרבות,General reserve.
76.01.02.02,אשראי לחברת יוזמה,מתן אשראי,"Credit provision, not direct spending."
76.01.09.01,השתתפות במשרד הפנים - מע'אר,העברות  פנים תקציביות,Internal budgetary transfer.
76.01.09.06,עתודה ליישום החלטה 2467,השקעה,General reserve.
76.01.09.09,"גבית אגרות השתתפות בפיתוח תשתית תעשיתית באז""פ",הכנסות מיועדות,Earmarked revenue.
76.01.09.12,עתודה לפיתוח אזורי תעשייה,השקעה,General reserve.
76.01.09.15,רזרבה לפיתוח איזורי תעשיה,השקעה,General reserve.
76.01.09.16,רזרבה לפיתוח אזורים בירושלים,השקעה,General reserve.
76.01.09.39,רזרבה להשתתפות במסוף מטענים מסוכנים ברמת חובב,השקעה,General reserve.
76.01.09.40,הכנסות לאיזור תעשיה קרית גת,הכנסות מיועדות,Earmarked revenue.
76.01.09.43,השתתפות תקציב תמיכות בשער הירדן,העברות  פנים תקציביות,Internal budgetary transfer.
76.01.09.44,הכנסות מאזור פיתוח ארז,הכנסות מיועדות,Earmarked revenue.
76.01.09.50,השתתפות משרד השיכון - ק. מלאכי,העברות  פנים תקציביות,Internal budgetary transfer.
76.01.09.51,"השתתפות משרד רוה""מ בפרוייקט שער הירדן",העברות  פנים תקציביות,Internal budgetary transfer.
76.01.09.53,השתתפות במשרד התחבורה,העברות  פנים תקציביות,Internal budgetary transfer.
76.01.09.67,השתתפות משרד ראש הממשלה,העברות  פנים תקציביות,Internal budgetary transfer.
76.01.09.68,השתתפות משרד לפיתוח הנגב והגליל,העברות  פנים תקציביות,Internal budgetary transfer.
76.01.09.93,הכנסות מרמת חובב,הכנסות מיועדות,Earmarked revenue.
76.01.09.97,השתתפות במינהל האזרחי לתכנון אתר ניצני שלום,העברות  פנים תקציביות,Internal budgetary transfer.
76.01.10.06,עתודה לפיתוח אזורי תעשייה מרחביים,השקעה,General reserve.
76.01.15.01,הלואות להון חוזר לתעשיה,מתן אשראי,"Credit provision, not direct spending."
76.01.15.03,עתודה להלוואות,מתן אשראי,Reserve for credit provision.
76.01.15.18,קרן משותפת צרפת-ישראל,מתן אשראי,"Credit provision, not direct spending."
76.01.15.19,הכנסות - קרן צרפת ישראל,הכנסות מיועדות,Earmarked revenue.
76.01.15.20,הלוואה למפעל דימונה,מתן אשראי,"Credit provision, not direct spending."
76.01.15.30,הלוואות למימון שכר למפעלי גיבור סברינה הפועלים תחת מפרק זמני,מתן אשראי,"Credit provision, not direct spending."
76.01.21.01,רזרבה להתייקרויות בהשקעה עקיפה,מתן אשראי,Reserve for credit provision.
76.01.21.03,רזרבה להתייקרויות בהשקעה ישירה,השקעה,General reserve.
76.01.21.05,רזרבה להתייקרויות,השקעה,General reserve.
76.01.21.06,רזרבה לעמידה ביעד הגירעון,השקעה,General reserve.
76.01.21.07,רזרבה לעמידה ביעד הגירעון,השקעה,General reserve.
76.01.21.08,רזרבה לעמידה ביעד ההוצאה,השקעה,General reserve.
76.01.21.09,רזרבה להתייקרויות,השקעה,General reserve.
76.01.21.95,רזרבה להתייקרויות כללית,רזרבות,General reserve.
76.10.01.50,הכנסות משיווק מגרשים במימון משותף ליזם ולמינהל אזורי פיתוח,הכנסות  מיועדות,Earmarked revenue.
76.10.01.51,הכנסות משיווק במימון מלא של היזם,הכנסות  מיועדות,Earmarked revenue.
